,LR Weights,LASSO Weights,Ridge Weights,ElasticNet Weights
taxable_building,0.5341416521600981,0.5166078809222434,0.5341410215895295,0.5111967244231268
exempt_building,0.517697723128623,0.5008413827702614,0.5176970731997111,0.49408080149004285
taxable_land,0.20068327257747667,0.2190082433909264,0.2006837926223922,0.2215136828144795
total_livable_area,0.049388320581793786,0.03060924802194276,0.04938848627080071,0.04357144192421243
number_of_bathrooms,0.029310259386045173,0.019985991892239305,0.02931032890796602,0.026223123121544713
exterior_condition_good,0.02883344210971959,0.0,0.02883317682350923,0.002613222863067834
fireplaces,0.012472840060212364,0.005571165809994982,0.012472879207294358,0.009806857478835734
number_stories,0.011814809047674154,0.0013160341124056655,0.011814830211888764,0.007190534116163147
exempt_land,0.009919429185755432,0.0,0.0099194331720653,0.004948859957301059
zip_code,0.007610025652703888,0.0,0.0076100331507906035,0.0021788690793964425
year_built,-0.004885664020317586,0.0,-0.004885613735539973,-0.0
number_of_bedrooms,-0.02124597203402784,-0.012874386100309847,-0.021246050985280644,-0.018831501943440434
interior_condition_good,-0.025308476684310438,0.0,-0.025308134968967524,0.0
number_of_rooms,-0.031427343262587455,-0.009422619625536364,-0.031427321505215634,-0.019964433379296896
