,LR Weights,LASSO Weights,Ridge Weights,ElasticNet Weights
exterior_condition_1,0.5147531118991245,0.31596445810336443,0.5147276102975828,0.27394000509606425
total_livable_area,0.4059471936413629,0.3887301004544025,0.40594703834328644,0.39380195165511267
exterior_condition_4,0.260172301646148,0.0884492970556848,0.2601612834505598,0.12864908621576832
exterior_condition_3,0.2531433070684941,0.12847034074026265,0.2531352569834381,0.1581872497140108
exterior_condition_2,0.1872975672321899,0.07479089477954001,0.18729024546054318,0.106681404319623
number_of_bathrooms,0.1486230697930521,0.14369989643780068,0.14862309801832832,0.14649617175267834
interior_condition_2.0,0.12201132628507377,0.17295640345221666,0.12201855148219895,0.1679349492294024
interior_condition_3.0,0.09194402415549119,0.14814879575114404,0.09195198309033793,0.1482981834549493
fireplaces,0.08577000258603464,0.07795923216073618,0.08577000922698787,0.08210103266789584
number_stories,0.047966184605204173,0.03876650232916888,0.0479661713819724,0.04333437467921921
zip_code,0.04274618763832506,0.032814908471795017,0.04274612131748506,0.03729685214347141
exterior_condition_0,0.019622228233174617,0.005054201637679298,0.019622047910180872,0.011236859843889349
year_built,0.018937536572032038,0.015000490082800903,0.018937606285901288,0.018054716666822727
number_of_rooms,-0.07599352670799005,-0.05584835394409569,-0.07599348125723074,-0.06450984255841309
interior_condition_4.0,-0.07844075151072048,0.0,-0.07843002333686258,0.0
number_of_bedrooms,-0.1067785303268416,-0.10024693805379617,-0.10677849140016973,-0.10241260814302512
interior_condition_1.0,-0.15435334079152102,0.0,-0.1543280493895778,0.06037025790706061
