,LR Weights,LASSO Weights,Ridge Weights,ElasticNet Weights
taxable_building,0.5097312279672511,0.49876171212238557,0.509730551450615,0.49029457541825355
exempt_building,0.4665137891326856,0.45948086074541705,0.4665129327815863,0.4460885046919516
taxable_land,0.20374485711005702,0.22057233183598612,0.20374540746324274,0.22338399752007704
exterior_condition_2,0.10115899454838441,0.038338476376413445,0.10115540172652894,0.05086177180072637
interior_condition_1.0,0.08899716501639697,0.03718852904187449,0.08899340499980694,0.05095613894778018
exterior_condition_3,0.08409923319758596,0.022560321503416903,0.08409546029160307,0.03468191527758591
exterior_condition_4,0.06329536555147885,-0.0058660288696175235,0.06329030413670457,-0.0
total_livable_area,0.05476735168836337,0.03482637866773995,0.05476753866313863,0.04810086888084783
number_of_bathrooms,0.015558103894199432,0.00838600024099212,0.01555813178541046,0.012826579596956858
fireplaces,0.014624986395145924,0.007088256739887364,0.014625030516108393,0.011784827034749722
exempt_land,0.01090776708309642,0.000632788116978732,0.010907778809589857,0.00596624177565067
zip_code,0.010508296801819519,0.0,0.010508315279569705,0.004940410851638904
number_stories,0.00564666259807101,0.0,0.005646670214905409,0.0011519031197858114
exterior_condition_0,0.005125857719312833,0.0,0.005125871689853929,0.0
year_built,-0.004300954739519356,0.0,-0.0043009352825963045,-0.0
number_of_bedrooms,-0.016535599483025347,-0.009341812005069648,-0.016535680253554445,-0.01430080138271058
number_of_rooms,-0.030322090191904426,-0.008807439624108043,-0.030322060903328996,-0.01885137801427818
exterior_condition_1,-0.03224001352581725,0.0,-0.03223596532526968,6.432448040020665e-05
interior_condition_3.0,-0.03977930335568197,0.0,-0.039775298865438895,0.0007318224383468813
interior_condition_2.0,-0.04258762018256062,0.0,-0.04258381194540995,0.0
interior_condition_4.0,-0.06511257311352814,-0.015438701741981467,-0.06510737604232394,-0.011259539655970005
